study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.rt,study_resp.started,study_resp.stopped,text_4.started,text_4.stopped,end_resp.keys,end_resp.started,end_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
,,,,7.833689147999394,None,8.838047479002853,None,space,2.605912258004537,8.838047479002853,None,,,,,,,,,,,,,,,,,,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
0,0,0,0,14.480687333008973,None,,,,,,,1,all_images/3_170a.jpg,LSim,11.466654640011257,None,11.466654640011257,None,11.466654640011257,None,11.466654640011257,None,11.466654640011257,None,j,2.529276633998961,11.466654640011257,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
1,0,1,0,18.501087024997105,None,,,,,,,2,all_images/3_083a.jpg,HSim,15.493450199006475,None,15.493450199006475,None,15.493450199006475,None,15.493450199006475,None,15.493450199006475,None,f,0.5304426700022304,15.493450199006475,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
2,0,2,0,22.51817621900409,None,,,,,,,3,all_images/E_148a.jpg,HSim,19.509701486997074,None,19.509701486997074,None,19.509701486997074,None,19.509701486997074,None,19.509701486997074,None,j,0.37825006200000644,19.509701486997074,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
3,0,3,0,26.539163282010122,None,,,,,,,4,all_images/2_163a.jpg,HSim,23.529472316004103,None,23.529472316004103,None,23.529472316004103,None,23.529472316004103,None,23.529472316004103,None,None,,23.529472316004103,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
4,0,4,0,30.556822148006177,None,,,,,,,5,all_images/6_182a.jpg,LSim,27.549164930998813,None,27.549164930998813,None,27.549164930998813,None,27.549164930998813,None,27.549164930998813,None,None,,27.549164930998813,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
5,0,5,0,34.578988063003635,None,,,,,,,6,all_images/3_108a.jpg,LSim,31.568903389998013,None,31.568903389998013,None,31.568903389998013,None,31.568903389998013,None,31.568903389998013,None,None,,31.568903389998013,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
6,0,6,0,38.59737373700773,None,,,,,,,7,all_images/2_105a.jpg,HSim,35.58906054300314,None,35.58906054300314,None,35.58906054300314,None,35.58906054300314,None,35.58906054300314,None,None,,35.58906054300314,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
7,0,7,0,42.6192448970105,None,,,,,,,8,all_images/1_072a.jpg,HSim,39.60783552200883,None,39.60783552200883,None,39.60783552200883,None,39.60783552200883,None,39.60783552200883,None,None,,39.60783552200883,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
8,0,8,0,46.64219967900135,None,,,,,,,9,all_images/1_098a.jpg,HSim,43.63107673100603,None,43.63107673100603,None,43.63107673100603,None,43.63107673100603,None,43.63107673100603,None,None,,43.63107673100603,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
9,0,9,0,50.660161496998626,None,,,,,,,10,all_images/3_146a.jpg,LSim,47.65100817399798,None,47.65100817399798,None,47.65100817399798,None,47.65100817399798,None,47.65100817399798,None,None,,47.65100817399798,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
