study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.rt,study_resp.started,study_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
,,,,6.732191090006381,None,7.7370764189981855,None,space,22.35448066300887,7.7370764189981855,None,,,,,,,,,,,,,,,,,,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
0,0,0,0,33.121826040005544,None,,,,,,,1,all_images/3_138a.jpg,HSim,30.1103190700087,None,30.1103190700087,None,30.1103190700087,None,30.1103190700087,None,30.1103190700087,None,f,1.317222170997411,30.1103190700087,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
1,0,1,0,37.14704600900586,None,,,,,,,2,all_images/1_061a.jpg,HSim,34.13761508700554,None,34.13761508700554,None,34.13761508700554,None,34.13761508700554,None,34.13761508700554,None,j,1.1619117800000822,34.13761508700554,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
2,0,2,0,41.1687535920064,None,,,,,,,3,all_images/4_023a.jpg,LSim,38.15930173000379,None,38.15930173000379,None,38.15930173000379,None,38.15930173000379,None,38.15930173000379,None,j,2.2442563520016847,38.15930173000379,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
3,0,3,0,45.19119731799583,None,,,,,,,4,all_images/6_034a.jpg,LSim,42.17961605300661,None,42.17961605300661,None,42.17961605300661,None,42.17961605300661,None,42.17961605300661,None,j,1.3359375300060492,42.17961605300661,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
4,0,4,0,49.21190212199872,None,,,,,,,5,all_images/2_188a.jpg,HSim,46.201820750007755,None,46.201820750007755,None,46.201820750007755,None,46.201820750007755,None,46.201820750007755,None,j,0.7936886310053524,46.201820750007755,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
5,0,5,0,53.23263826100447,None,,,,,,,6,all_images/5_111a.jpg,HSim,50.223463893009466,None,50.223463893009466,None,50.223463893009466,None,50.223463893009466,None,50.223463893009466,None,j,0.5640802400012035,50.223463893009466,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
6,0,6,0,57.25944119099586,None,,,,,,,7,all_images/3_089a.jpg,HSim,54.247894692001864,None,54.247894692001864,None,54.247894692001864,None,54.247894692001864,None,54.247894692001864,None,f,1.2796662470063893,54.247894692001864,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
7,0,7,0,61.285522830003174,None,,,,,,,8,all_images/4_181a.jpg,HSim,58.271802681003464,None,58.271802681003464,None,58.271802681003464,None,58.271802681003464,None,58.271802681003464,None,j,1.2197218010114739,58.271802681003464,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
8,0,8,0,65.30956124099612,None,,,,,,,9,all_images/1_132a.jpg,LSim,62.29827981100243,None,62.29827981100243,None,62.29827981100243,None,62.29827981100243,None,62.29827981100243,None,f,1.3092403299961006,62.29827981100243,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
9,0,9,0,69.33184088699636,None,,,,,,,10,all_images/3_112a.jpg,HSim,66.32284684899787,None,66.32284684899787,None,66.32284684899787,None,66.32284684899787,None,66.32284684899787,None,j,1.6446951140096644,66.32284684899787,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
10,0,10,0,73.36064660700504,None,,,,,,,11,all_images/2_130a.jpg,LSim,70.3480582570046,None,70.3480582570046,None,70.3480582570046,None,70.3480582570046,None,70.3480582570046,None,j,1.2914776350080501,70.3480582570046,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
11,0,11,0,77.38094371600891,None,,,,,,,12,all_images/2_134a.jpg,HSim,74.37163344399596,None,74.37163344399596,None,74.37163344399596,None,74.37163344399596,None,74.37163344399596,None,j,1.1798973830009345,74.37163344399596,None,999,,,2022_Jan_09_1313,BLAES_MST_encoding,3.2.4,231.9663340078256,
,,,,,,,,,,,,13,all_images/6_015a.jpg,HSim,,,,,,,,,,,,,,,,,,,,,,
