study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.started,study_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
,,,,6.5597465809987625,None,7.5640137559967116,None,space,4.093479015995399,7.5640137559967116,None,,,,,,,,,,,,,,,,,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
0,0,0,0,14.688965483001084,None,,,,,,,1,all_images/6_068a.jpg,LSim,11.677484410000034,None,11.677484410000034,None,11.677484410000034,None,11.677484410000034,None,11.677484410000034,None,None,11.677484410000034,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
1,0,1,0,18.712138743998366,None,,,,,,,2,all_images/2_048a.jpg,LSim,15.701661188999424,None,15.701661188999424,None,15.701661188999424,None,15.701661188999424,None,15.701661188999424,None,None,15.701661188999424,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
2,0,2,0,22.734746329995687,None,,,,,,,3,all_images/4_079a.jpg,LSim,19.72352081500867,None,19.72352081500867,None,19.72352081500867,None,19.72352081500867,None,19.72352081500867,None,None,19.72352081500867,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
3,0,3,0,26.75901069599786,None,,,,,,,4,all_images/2_082a.jpg,HSim,23.74583938199794,None,23.74583938199794,None,23.74583938199794,None,23.74583938199794,None,23.74583938199794,None,None,23.74583938199794,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
4,0,4,0,30.779667780007003,None,,,,,,,5,all_images/6_153a.jpg,HSim,27.769796645006863,None,27.769796645006863,None,27.769796645006863,None,27.769796645006863,None,27.769796645006863,None,None,27.769796645006863,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
5,0,5,0,34.80031384700851,None,,,,,,,6,all_images/1_052a.jpg,LSim,31.78922375300317,None,31.78922375300317,None,31.78922375300317,None,31.78922375300317,None,31.78922375300317,None,None,31.78922375300317,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
6,0,6,0,38.82698370500293,None,,,,,,,7,all_images/4_125a.jpg,LSim,35.81677147500159,None,35.81677147500159,None,35.81677147500159,None,35.81677147500159,None,35.81677147500159,None,None,35.81677147500159,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
7,0,7,0,42.85045821599488,None,,,,,,,8,all_images/1_032a.jpg,LSim,39.840204009000445,None,39.840204009000445,None,39.840204009000445,None,39.840204009000445,None,39.840204009000445,None,None,39.840204009000445,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
8,0,8,0,46.87541796799633,None,,,,,,,9,all_images/C_064a.jpg,HSim,43.86387079900305,None,43.86387079900305,None,43.86387079900305,None,43.86387079900305,None,43.86387079900305,None,None,43.86387079900305,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
9,0,9,0,50.89329565600201,None,,,,,,,10,all_images/E_079a.jpg,HSim,47.8846496650076,None,47.8846496650076,None,47.8846496650076,None,47.8846496650076,None,47.8846496650076,None,None,47.8846496650076,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
10,0,10,0,54.91722869500518,None,,,,,,,11,all_images/C_173a.jpg,LSim,51.904763097001705,None,51.904763097001705,None,51.904763097001705,None,51.904763097001705,None,51.904763097001705,None,None,51.904763097001705,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
11,0,11,0,58.94188964400382,None,,,,,,,12,all_images/2_077a.jpg,HSim,55.9292459779972,None,55.9292459779972,None,55.9292459779972,None,55.9292459779972,None,55.9292459779972,None,None,55.9292459779972,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
12,0,12,0,62.96579666499747,None,,,,,,,13,all_images/2_169a.jpg,HSim,59.954211076998035,None,59.954211076998035,None,59.954211076998035,None,59.954211076998035,None,59.954211076998035,None,None,59.954211076998035,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
