imgA,imgB,rating,condition,session_id
1_138a.jpg,1_138b.jpg,5,Targ,3
4_066a.jpg,4_066b.jpg,4,HSim,5
F_034a.jpg,F_034b.jpg,1,Targ,4
4_064a.jpg,4_064b.jpg,2,LSim,3
E_075a.jpg,E_075b.jpg,5,Foil,2
5_123a.jpg,5_123b.jpg,2,Targ,2
4_119a.jpg,4_119b.jpg,5,Foil,4
5_067a.jpg,5_067b.jpg,1,LSim,5
1_005a.jpg,1_005b.jpg,4,HSim,4
E_148a.jpg,E_148b.jpg,4,Targ,5
2_055a.jpg,2_055b.jpg,2,Foil,4
2_111a.jpg,2_111b.jpg,1,Foil,5
1_153a.jpg,1_153b.jpg,4,HSim,5
2_084a.jpg,2_084b.jpg,3,Targ,3
2_115a.jpg,2_115b.jpg,2,LSim,2
C_033a.jpg,C_033b.jpg,1,LSim,2
D_053a.jpg,D_053b.jpg,1,LSim,1
5_066a.jpg,5_066b.jpg,3,HSim,5
4_097a.jpg,4_097b.jpg,2,Targ,5
3_190a.jpg,3_190b.jpg,2,Foil,5
6_071a.jpg,6_071b.jpg,4,Targ,4
1_022a.jpg,1_022b.jpg,5,Targ,5
6_074a.jpg,6_074b.jpg,4,Targ,2
2_160a.jpg,2_160b.jpg,1,LSim,2
1_122a.jpg,1_122b.jpg,2,LSim,2
3_188a.jpg,3_188b.jpg,1,LSim,5
5_087a.jpg,5_087b.jpg,2,Targ,5
4_145a.jpg,4_145b.jpg,4,Targ,3
E_098a.jpg,E_098b.jpg,3,HSim,2
C_024a.jpg,C_024b.jpg,1,Foil,1
1_126a.jpg,1_126b.jpg,5,Foil,1
3_029a.jpg,3_029b.jpg,5,Targ,4
5_181a.jpg,5_181b.jpg,3,HSim,2
3_185a.jpg,3_185b.jpg,1,LSim,3
1_089a.jpg,1_089b.jpg,3,HSim,1
3_063a.jpg,3_063b.jpg,5,Targ,1
4_028a.jpg,4_028b.jpg,2,LSim,2
C_044a.jpg,C_044b.jpg,1,Targ,3
2_031a.jpg,2_031b.jpg,3,Foil,2
4_051a.jpg,4_051b.jpg,1,LSim,4
1_043a.jpg,1_043b.jpg,1,LSim,3
C_101a.jpg,C_101b.jpg,2,Targ,4
3_026a.jpg,3_026b.jpg,1,Targ,3
C_030a.jpg,C_030b.jpg,4,HSim,1
1_053a.jpg,1_053b.jpg,1,Targ,5
2_138a.jpg,2_138b.jpg,4,Targ,1
1_140a.jpg,1_140b.jpg,1,LSim,1
3_065a.jpg,3_065b.jpg,2,LSim,2
1_003a.jpg,1_003b.jpg,4,HSim,3
D_190a.jpg,D_190b.jpg,5,Targ,1
5_183a.jpg,5_183b.jpg,5,Targ,2
5_188a.jpg,5_188b.jpg,1,LSim,3
2_030a.jpg,2_030b.jpg,2,LSim,4
E_181a.jpg,E_181b.jpg,2,Targ,2
1_149a.jpg,1_149b.jpg,1,Foil,2
6_150a.jpg,6_150b.jpg,1,LSim,1
