imgA,imgB,rating,condition,session_id
1_078a.jpg,1_078b.jpg,3,HSim,4
1_048a.jpg,1_048b.jpg,1,LSim,5
F_165a.jpg,F_165b.jpg,4,HSim,3
6_090a.jpg,6_090b.jpg,5,Targ,1
D_047a.jpg,D_047b.jpg,5,Targ,3
1_168a.jpg,1_168b.jpg,1,LSim,1
3_085a.jpg,3_085b.jpg,3,HSim,2
5_032a.jpg,5_032b.jpg,4,Targ,2
2_031a.jpg,2_031b.jpg,3,Foil,2
3_100a.jpg,3_100b.jpg,5,Targ,1
3_021a.jpg,3_021b.jpg,1,Foil,4
5_125a.jpg,5_125b.jpg,5,Targ,5
3_134a.jpg,3_134b.jpg,4,Targ,4
F_059a.jpg,F_059b.jpg,1,LSim,4
1_011a.jpg,1_011b.jpg,1,LSim,2
5_105a.jpg,5_105b.jpg,3,HSim,3
2_107a.jpg,2_107b.jpg,1,LSim,5
5_181a.jpg,5_181b.jpg,3,Foil,5
1_064a.jpg,1_064b.jpg,2,Foil,1
6_115a.jpg,6_115b.jpg,3,HSim,1
5_075a.jpg,5_075b.jpg,4,HSim,4
2_023a.jpg,2_023b.jpg,5,Targ,4
1_089a.jpg,1_089b.jpg,3,HSim,4
6_091a.jpg,6_091b.jpg,3,HSim,1
4_152a.jpg,4_152b.jpg,3,HSim,2
5_141a.jpg,5_141b.jpg,1,LSim,2
6_042a.jpg,6_042b.jpg,2,Targ,4
1_119a.jpg,1_119b.jpg,1,Foil,1
E_061a.jpg,E_061b.jpg,1,LSim,3
2_133a.jpg,2_133b.jpg,3,HSim,1
2_014a.jpg,2_014b.jpg,5,Foil,4
C_030a.jpg,C_030b.jpg,4,Targ,2
F_058a.jpg,F_058b.jpg,4,Foil,2
2_008a.jpg,2_008b.jpg,4,Targ,3
2_161a.jpg,2_161b.jpg,5,Foil,5
2_168a.jpg,2_168b.jpg,1,Targ,4
3_169a.jpg,3_169b.jpg,4,HSim,3
D_078a.jpg,D_078b.jpg,2,LSim,4
F_097a.jpg,F_097b.jpg,3,Foil,4
1_139a.jpg,1_139b.jpg,1,LSim,4
2_040a.jpg,2_040b.jpg,3,Foil,4
2_129a.jpg,2_129b.jpg,2,LSim,1
5_074a.jpg,5_074b.jpg,2,LSim,1
2_044a.jpg,2_044b.jpg,5,Foil,3
2_030a.jpg,2_030b.jpg,2,LSim,3
5_176a.jpg,5_176b.jpg,5,Foil,4
C_024a.jpg,C_024b.jpg,1,Targ,1
3_072a.jpg,3_072b.jpg,1,LSim,4
2_057a.jpg,2_057b.jpg,3,Targ,5
4_103a.jpg,4_103b.jpg,3,HSim,4
F_006a.jpg,F_006b.jpg,2,LSim,2
1_143a.jpg,1_143b.jpg,4,HSim,2
6_098a.jpg,6_098b.jpg,3,HSim,1
C_037a.jpg,C_037b.jpg,3,Targ,5
4_178a.jpg,4_178b.jpg,1,Targ,1
4_126a.jpg,4_126b.jpg,2,LSim,1
1_110a.jpg,1_110b.jpg,1,LSim,3
D_186a.jpg,D_186b.jpg,3,Targ,3
5_070a.jpg,5_070b.jpg,2,Foil,4
1_046a.jpg,1_046b.jpg,2,Foil,4
1_031a.jpg,1_031b.jpg,4,Foil,1
6_074a.jpg,6_074b.jpg,4,HSim,5
F_168a.jpg,F_168b.jpg,2,LSim,1
5_072a.jpg,5_072b.jpg,4,HSim,2
1_004a.jpg,1_004b.jpg,3,HSim,5
1_042a.jpg,1_042b.jpg,1,Targ,5
3_115a.jpg,3_115b.jpg,2,Foil,5
6_161a.jpg,6_161b.jpg,2,Targ,1
5_011a.jpg,5_011b.jpg,3,Targ,1
4_042a.jpg,4_042b.jpg,4,HSim,3
4_031a.jpg,4_031b.jpg,5,Foil,2
1_071a.jpg,1_071b.jpg,4,HSim,3
5_042a.jpg,5_042b.jpg,3,HSim,2
2_007a.jpg,2_007b.jpg,3,Targ,1
1_045a.jpg,1_045b.jpg,3,Targ,2
1_159a.jpg,1_159b.jpg,4,Targ,4
3_188a.jpg,3_188b.jpg,1,Targ,5
E_078a.jpg,E_078b.jpg,5,Targ,2
4_129a.jpg,4_129b.jpg,2,Foil,5
2_079a.jpg,2_079b.jpg,1,LSim,4
5_016a.jpg,5_016b.jpg,3,Targ,3
